Product_ID,Product_Name,Category,Brand,Price,Stock
PROD00001,Quia,Beauty,Sony,29877.28,4540
PROD00002,Amet,Fashion,AmazonBasics,16866.46,4120
PROD00003,Iusto,Electronics,AmazonBasics,33458.01,1549
PROD00004,Reiciendis,Fashion,Boat,8912.61,3581
PROD00005,Quaerat,Beauty,Samsung,4471.36,3108
PROD00006,Illo,Electronics,Nike,25351.19,2762
PROD00007,Vero,Books,Nike,29269.25,3825
PROD00008,Iusto,Grocery,Samsung,3207.18,4739
PROD00009,Molestiae,Beauty,AmazonBasics,1973.5,849
PROD00010,Cum,Electronics,Samsung,1583.39,663
PROD00011,Itaque,Electronics,Boat,6433.22,1582
PROD00012,Consequatur,Books,Boat,4360.18,2490
PROD00013,Molestiae,Home,Sony,4024.32,4151
PROD00014,Eaque,Fashion,AmazonBasics,31612.44,4984
PROD00015,Amet,Electronics,AmazonBasics,100.5,1310
PROD00016,Quod,Books,Nike,19197.25,2533
PROD00017,Earum,Books,Boat,39612.3,2837
PROD00018,Deserunt,Beauty,Sony,19486.67,1079
PROD00019,Vitae,Fashion,Sony,27037.76,2018
PROD00020,Sapiente,Grocery,AmazonBasics,28698.84,2836
PROD00021,Nobis,Fashion,AmazonBasics,9873.84,3885
PROD00022,Eum,Electronics,Nike,1262.58,4780
PROD00023,Et,Grocery,Nike,44131.98,1199
PROD00024,Nam,Grocery,Samsung,17162.07,1396
PROD00025,Et,Books,Samsung,24786.81,3663
PROD00026,Adipisci,Electronics,Sony,14373.69,3465
PROD00027,Aut,Books,Nike,16722.84,3391
PROD00028,Adipisci,Grocery,Boat,46399.08,1865
PROD00029,Sint,Electronics,Nike,40059.05,4107
PROD00030,Ratione,Fashion,AmazonBasics,2512.6,2018
PROD00031,Ad,Grocery,Sony,25794.22,4918
PROD00032,Amet,Beauty,Nike,25580.9,939
PROD00033,Quas,Fashion,AmazonBasics,13274.53,4028
PROD00034,Provident,Books,AmazonBasics,46372.62,945
PROD00035,Quibusdam,Home,Boat,49690.16,2599
PROD00036,Ad,Home,AmazonBasics,7054.05,4439
PROD00037,Necessitatibus,Fashion,Nike,17740.93,2590
PROD00038,Illum,Beauty,Nike,40179.74,2835
PROD00039,Amet,Grocery,Sony,6428.04,3033
PROD00040,Assumenda,Books,Nike,13268.29,255
PROD00041,A,Beauty,AmazonBasics,12843.52,76
PROD00042,Officia,Home,Samsung,10877.76,3399
PROD00043,Laborum,Home,Samsung,15051.45,220
PROD00044,Ab,Grocery,AmazonBasics,22104.47,4455
PROD00045,Architecto,Home,AmazonBasics,15963.51,3794
PROD00046,Quo,Fashion,Boat,45811.37,4793
PROD00047,Praesentium,Beauty,Sony,37454.02,4738
PROD00048,Velit,Fashion,AmazonBasics,21062.09,3707
PROD00049,Modi,Books,AmazonBasics,40855.52,4833
PROD00050,Quod,Fashion,Sony,39907.55,3951
PROD00051,Voluptates,Home,AmazonBasics,49800.93,2527
PROD00052,Asperiores,Fashion,AmazonBasics,6719.08,2599
PROD00053,Totam,Books,AmazonBasics,44322.6,4054
PROD00054,Tempore,Books,Boat,20361.54,4849
PROD00055,Maxime,Electronics,AmazonBasics,7182.2,3320
PROD00056,Expedita,Home,Boat,14990.38,4673
PROD00057,Corrupti,Electronics,AmazonBasics,29415.67,2349
PROD00058,Architecto,Electronics,Nike,28817.17,198
PROD00059,Ipsam,Fashion,Samsung,29691.82,2736
PROD00060,Aut,Grocery,Boat,13790.11,4680
PROD00061,Illum,Beauty,Sony,2359.04,2034
PROD00062,Saepe,Home,Sony,43605.93,4983
PROD00063,Adipisci,Electronics,Sony,33349.16,3677
PROD00064,Corporis,Fashion,Boat,19992.4,56
PROD00065,Voluptatum,Home,Samsung,32183.49,1615
PROD00066,Ipsa,Electronics,Sony,25084.11,4830
PROD00067,Laudantium,Home,AmazonBasics,38818.81,4504
PROD00068,Architecto,Fashion,Sony,36361.44,3825
PROD00069,Similique,Fashion,Boat,27622.62,2539
PROD00070,Odio,Home,Boat,21686.11,1694
PROD00071,Alias,Beauty,Samsung,27573.76,2619
PROD00072,Quod,Home,Nike,42519.55,3144
PROD00073,Ducimus,Fashion,AmazonBasics,38155.06,1087
PROD00074,Nam,Home,Sony,32097.5,4031
PROD00075,Magnam,Grocery,Nike,16397.45,670
PROD00076,Tenetur,Home,AmazonBasics,22225.9,3725
PROD00077,Labore,Grocery,Sony,19873.21,17
PROD00078,Perferendis,Home,Sony,1421.53,4165
PROD00079,Eos,Home,Samsung,11463.24,911
PROD00080,Natus,Fashion,Samsung,8223.56,2356
PROD00081,Consequatur,Fashion,Sony,28227.05,3272
PROD00082,Illo,Beauty,Sony,30573.17,2212
PROD00083,Beatae,Electronics,Boat,18728.36,4529
PROD00084,Aliquam,Beauty,Samsung,16461.66,1059
PROD00085,Neque,Beauty,Samsung,26985.94,3081
PROD00086,Sunt,Books,Nike,42587.87,852
PROD00087,Animi,Home,Boat,16662.47,202
PROD00088,Dignissimos,Books,Samsung,49587.82,4493
PROD00089,Nesciunt,Books,AmazonBasics,1817.01,4434
PROD00090,Quidem,Books,AmazonBasics,49845.69,3627
PROD00091,Accusantium,Books,Nike,20150.03,4875
PROD00092,Tempore,Beauty,Boat,47208.22,4161
PROD00093,Facere,Electronics,Sony,41053.48,4466
PROD00094,Atque,Home,Nike,34218.62,2011
PROD00095,Harum,Books,Sony,23704.78,4957
PROD00096,Quasi,Electronics,Samsung,30938.26,1946
PROD00097,Consequuntur,Grocery,Samsung,16820.28,677
PROD00098,Esse,Grocery,AmazonBasics,5438.48,1341
PROD00099,Recusandae,Home,Sony,44104.52,662
PROD00100,Consequatur,Books,AmazonBasics,14476.48,4422
PROD00101,Vero,Electronics,AmazonBasics,22444.69,1554
PROD00102,Eius,Books,Boat,28244.9,1663
PROD00103,Facilis,Home,Sony,24624.53,1308
PROD00104,Architecto,Home,AmazonBasics,159.37,4881
PROD00105,Autem,Electronics,Samsung,2561.72,3919
PROD00106,Dicta,Fashion,Samsung,30379.53,2734
PROD00107,Esse,Books,AmazonBasics,42040.84,2955
PROD00108,Optio,Beauty,Nike,14608.34,3813
PROD00109,Neque,Electronics,Sony,49004.6,2264
PROD00110,Soluta,Beauty,Boat,48743.3,1735
PROD00111,Repudiandae,Beauty,Sony,10848.19,3699
PROD00112,Commodi,Electronics,Sony,9042.97,1619
PROD00113,Quia,Beauty,Sony,34364.93,151
PROD00114,Sed,Electronics,Samsung,9040.58,3615
PROD00115,Nobis,Books,Samsung,171.76,2481
PROD00116,Alias,Fashion,Sony,36030.23,533
PROD00117,Aut,Books,AmazonBasics,42908.45,3671
PROD00118,Nesciunt,Home,Sony,42989.17,3310
PROD00119,Laudantium,Beauty,Nike,7709.05,1267
PROD00120,Quo,Grocery,Samsung,25612.88,149
PROD00121,Ea,Beauty,Nike,27116.97,3273
